iter	Passed	Remaining
430	1616	9637
431	1620	9630
432	1624	9628
433	1627	9621
434	1630	9614
435	1633	9607
436	1637	9604
437	1640	9597
438	1644	9590
439	1647	9583
440	1650	9576
441	1653	9569
442	1656	9563
443	1660	9556
444	1663	9552
445	1667	9547
446	1671	9545
447	1674	9541
448	1678	9535
449	1681	9530
450	1685	9528
451	1689	9523
452	1692	9518
453	1696	9513
454	1700	9509
455	1703	9503
456	1707	9499
457	1710	9493
458	1714	9490
459	1717	9484
460	1720	9478
461	1724	9472
462	1728	9468
463	1732	9468
464	1736	9465
465	1739	9458
466	1744	9459
467	1747	9453
468	1750	9449
469	1754	9443
470	1758	9443
471	1762	9438
472	1765	9433
473	1769	9428
474	1773	9426
475	1776	9421
476	1780	9416
477	1783	9412
478	1787	9406
479	1790	9400
480	1793	9395
481	1797	9388
482	1800	9382
483	1803	9377
484	1807	9370
485	1810	9364
486	1813	9358
487	1817	9356
488	1821	9350
489	1824	9346
490	1828	9341
491	1832	9341
492	1836	9339
493	1839	9333
494	1843	9329
495	1846	9323
496	1851	9322
497	1854	9315
498	1858	9316
499	1862	9310
500	1865	9307
501	1869	9302
502	1873	9301
503	1877	9297
504	1881	9293
505	1885	9291
506	1888	9288
507	1893	9288
508	1897	9285
509	1900	9280
510	1904	9275
511	1908	9272
512	1911	9269
513	1915	9264
514	1918	9258
515	1921	9251
516	1925	9248
517	1929	9242
518	1932	9237
519	1936	9234
520	1939	9228
521	1943	9223
522	1946	9219
523	1950	9214
524	1953	9207
525	1956	9202
526	1959	9196
527	1964	9196
528	1967	9191
529	1971	9187
530	1974	9182
531	1978	9179
532	1982	9174
533	1985	9169
534	1990	9172
535	1994	9167
536	1998	9164
537	2002	9162
538	2005	9157
539	2008	9150
540	2012	9145
541	2015	9140
542	2019	9139
543	2023	9134
544	2026	9130
545	2030	9125
546	2033	9120
547	2038	9119
548	2041	9113
549	2045	9112
550	2049	9110
551	2053	9105
552	2056	9100
553	2059	9095
554	2063	9089
555	2066	9085
556	2070	9081
557	2073	9076
558	2077	9071
559	2080	9066
560	2084	9062
561	2088	9059
562	2091	9054
563	2095	9051
564	2099	9046
565	2102	9040
566	2105	9036
567	2109	9034
568	2113	9030
569	2116	9024
570	2120	9019
571	2123	9014
572	2127	9009
573	2130	9005
574	2134	9000
575	2137	8994
576	2140	8988
577	2144	8984
578	2148	8981
579	2151	8975
580	2154	8971
581	2158	8968
582	2162	8963
583	2165	8957
584	2169	8957
585	2173	8953
586	2176	8948
587	2180	8942
588	2183	8937
589	2186	8932
590	2190	8928
591	2193	8924
592	2197	8918
593	2200	8914
594	2204	8908
595	2208	8906
596	2212	8904
597	2215	8899
598	2219	8895
599	2222	8891
600	2226	8886
601	2230	8883
602	2233	8879
603	2238	8879
604	2242	8876
