iter	Logloss
0	0.6540801052
1	0.6376040438
2	0.6228562586
3	0.6115744097
4	0.6029665809
5	0.5966374201
6	0.5910359042
7	0.586246471
8	0.5825003067
9	0.5786639608
10	0.5765314275
11	0.5738872358
12	0.5719029986
13	0.5694559603
14	0.567631525
15	0.566127033
16	0.5648771198
17	0.5637428575
18	0.5629512613
19	0.561986939
20	0.5613055617
21	0.5604114452
22	0.5597931258
23	0.5587259145
24	0.5579398671
25	0.557041741
26	0.5559118508
27	0.5553699278
28	0.5548795362
29	0.5543012138
30	0.5533779755
31	0.5522906107
32	0.5516999583
33	0.5512623578
34	0.5508524615
35	0.5505376493
36	0.5501197944
37	0.549484753
38	0.5491657841
39	0.548784258
40	0.5478297556
41	0.5474248905
42	0.5471403577
43	0.5469051728
44	0.5465751626
45	0.5461756543
46	0.5458938998
47	0.5455475628
48	0.5448913519
49	0.5447016111
50	0.5436870286
51	0.5434953894
52	0.5432651028
53	0.5430339022
54	0.5427445121
55	0.5425516566
56	0.5422401417
57	0.5420921043
58	0.5401097378
59	0.5398931541
60	0.5397113756
61	0.5395255271
62	0.5393109355
63	0.5391670877
64	0.5389667886
65	0.5388146474
66	0.5386132023
67	0.5384320276
68	0.5381512158
69	0.5380052422
70	0.537890735
71	0.5377454092
72	0.5368837734
73	0.5365441429
74	0.5362727944
75	0.5354138854
76	0.5352593164
77	0.5351371283
78	0.5349125495
79	0.5342772436
80	0.533875345
81	0.5336864278
82	0.5336055791
83	0.5334384816
84	0.5328500324
85	0.5321508183
86	0.5320604936
87	0.5318965766
88	0.5317078362
89	0.5315874943
90	0.531291951
91	0.5311009846
92	0.5309971254
93	0.5308763048
94	0.5304795508
95	0.5303950021
96	0.5293603649
97	0.5292776666
98	0.5291364866
99	0.5290736568
100	0.5288368057
101	0.5286976744
102	0.5285481407
103	0.5284456548
104	0.5281382697
105	0.5273083834
106	0.5272577752
107	0.5271678939
108	0.5268856558
109	0.5267032955
110	0.5259723447
111	0.525728605
112	0.5255489854
113	0.5254716467
114	0.5254103658
115	0.5252962415
116	0.5251768238
117	0.5244892113
118	0.5244047801
119	0.5243588924
120	0.5236157524
121	0.5231523892
122	0.5230700666
123	0.5229848079
124	0.5227534423
125	0.5225989971
126	0.5219536019
127	0.5218869782
128	0.5217973166
129	0.5217359681
130	0.5214342419
131	0.5213813238
132	0.5213046361
133	0.5212047355
134	0.5209143848
135	0.5207212394
136	0.520654065
137	0.5205983455
138	0.5205479986
139	0.519886653
140	0.5198059559
141	0.5197178605
142	0.5195737803
143	0.5195045506
144	0.5189065823
145	0.5187920195
146	0.5186929097
147	0.5185917275
148	0.5184299716
149	0.5183768233
150	0.5183339173
151	0.5181601667
152	0.5181196358
153	0.5180599272
154	0.5179848951
155	0.5179395636
156	0.517719022
157	0.517581198
158	0.517302641
159	0.5172609149
160	0.5169731927
161	0.5167041411
162	0.5165548972
163	0.5163379702
164	0.5160014146
165	0.5151652226
166	0.5151003848
167	0.5148978586
168	0.5147522262
169	0.5146689175
170	0.5144635553
171	0.5140571388
172	0.5140153095
173	0.5129672324
174	0.5126214047
175	0.512197292
176	0.5116736055
177	0.5115798304
178	0.5115000276
179	0.5114517717
180	0.511337187
181	0.5113009628
182	0.511182398
183	0.5111313816
184	0.5110862918
185	0.5107925347
186	0.5106640458
187	0.5106319289
188	0.5104804376
189	0.5103440673
190	0.5102705773
191	0.5102332936
192	0.5101614824
193	0.5101227677
194	0.5099126029
195	0.5098718773
196	0.5095203988
197	0.5093882456
198	0.5092788362
199	0.5092287518
200	0.5088200623
201	0.508741692
202	0.508668168
203	0.5081696427
204	0.508088811
205	0.5080324911
206	0.5077787238
207	0.5077242354
208	0.5076780549
209	0.5075804926
210	0.5073890281
211	0.5071693929
212	0.507023847
213	0.5069666269
214	0.5066251307
215	0.5063654566
216	0.5062199903
217	0.5061984658
218	0.5061428567
219	0.505982634
220	0.5059225565
221	0.505833695
222	0.5058049815
223	0.5052245737
224	0.5051513919
225	0.5050955294
226	0.5050093126
227	0.5048966098
228	0.5045942143
229	0.5045237301
230	0.5044310115
231	0.504361229
232	0.5043030126
233	0.5040323611
234	0.5036711832
235	0.5035821326
236	0.5035335235
237	0.5034629232
238	0.5031944902
239	0.503091122
240	0.5028123355
241	0.5025167696
242	0.5022809346
243	0.5021133402
244	0.5019695994
245	0.5019131369
